478,14614.0,21308.0,36813.0,0.396979327955,0.57881726564,"6,694",18.18%,GA,Lowndes County,13185
479,2216.0,9613.0,12324.0,0.179811749432,0.780022719896,"7,397",60.02%,GA,Lumpkin County,13187
480,2705.0,1540.0,4287.0,0.630977373455,0.359225565664,"1,165",27.18%,GA,Macon County,13193
481,2423.0,9195.0,11945.0,0.202846379238,0.769778149853,"6,772",56.69%,GA,Madison County,13195
482,1213.0,1921.0,3183.0,0.381087024819,0.603518693057,708,22.24%,GA,Marion County,13197
483,3699.0,5432.0,9268.0,0.399115235218,0.586102719033,"1,733",18.70%,GA,McDuffie County,13189
484,2298.0,3482.0,5893.0,0.389954182929,0.590870524351,"1,184",20.09%,GA,McIntosh County,13191
485,3800.0,5216.0,9181.0,0.413898268163,0.568129833351,"1,416",15.42%,GA,Meriwether County,13199
486,622.0,1888.0,2540.0,0.244881889764,0.743307086614,"1,266",49.84%,GA,Miller County,13201
487,3492.0,4272.0,7857.0,0.444444444444,0.543718976709,780,9.93%,GA,Mitchell County,13205
488,3570.0,8821.0,12675.0,0.281656804734,0.695936883629,"5,251",41.43%,GA,Monroe County,13207
489,847.0,2668.0,3560.0,0.237921348315,0.749438202247,"1,821",51.15%,GA,Montgomery County,13209
490,2658.0,6559.0,9435.0,0.281717011129,0.695177530472,"3,901",41.35%,GA,Morgan County,13211
491,1799.0,10340.0,12422.0,0.144823699887,0.83239413943,"8,541",68.76%,GA,Murray County,13213
492,39602.0,26901.0,68320.0,0.579654566745,0.39375,"12,701",18.59%,GA,Muscogee County,13215
493,21936.0,20907.0,43787.0,0.500970607715,0.477470482107,"1,029",2.35%,GA,Newton County,13217
494,5253.0,12885.0,19030.0,0.276037834997,0.677088807147,"7,632",40.11%,GA,Oconee County,13219
495,1829.0,4622.0,6650.0,0.275037593985,0.695037593985,"2,793",42.00%,GA,Oglethorpe County,13221
496,18004.0,44646.0,64601.0,0.278695376233,0.691103852882,"26,642",41.24%,GA,Paulding County,13223
497,5083.0,5405.0,10699.0,0.475091130012,0.505187400692,322,3.01%,GA,Peach County,13225
498,1977.0,11651.0,13982.0,0.141396080675,0.833285652982,"9,674",69.19%,GA,Pickens County,13227
499,903.0,6301.0,7297.0,0.12374948609,0.863505550226,"5,398",73.98%,GA,Pierce County,13229
500,1239.0,7273.0,8675.0,0.142824207493,0.838386167147,"6,034",69.56%,GA,Pike County,13231
501,2863.0,11006.0,14158.0,0.202217827377,0.777369684984,"8,143",57.52%,GA,Polk County,13233
502,1104.0,2436.0,3598.0,0.30683713174,0.677042801556,"1,332",37.02%,GA,Pulaski County,13235
503,2745.0,6516.0,9431.0,0.291061393277,0.690912946665,"3,771",39.99%,GA,Putnam County,13237
504,461.0,575.0,1044.0,0.441570881226,0.550766283525,114,10.92%,GA,Quitman County,13239
505,1443.0,6287.0,7949.0,0.18153226821,0.79091709649,"4,844",60.94%,GA,Rabun County,13241
506,1597.0,1270.0,2895.0,0.551640759931,0.438687392055,327,11.30%,GA,Randolph County,13243
507,48707.0,24441.0,74952.0,0.649842565909,0.326088696766,"24,266",32.38%,GA,Richmond County,13245
508,23206.0,13463.0,37589.0,0.61736146213,0.358163292453,"9,743",25.92%,GA,Rockdale County,13247
509,401.0,1472.0,1909.0,0.210057621792,0.771084337349,"1,071",56.10%,GA,Schley County,13249
510,2300.0,3305.0,5699.0,0.403579575364,0.57992630286,"1,005",17.63%,GA,Screven County,13251
511,1186.0,2343.0,3577.0,0.331562762091,0.655018171652,"1,157",32.35%,GA,Seminole County,13253
512,9347.0,15636.0,25940.0,0.36033153431,0.602775636083,"6,289",24.24%,GA,Spalding County,13255
513,1835.0,7682.0,9760.0,0.188012295082,0.787090163934,"5,847",59.91%,GA,Stephens County,13257
514,1220.0,805.0,2053.0,0.594252313687,0.392109108622,415,20.21%,GA,Stewart County,13259
515,5520.0,5275.0,10973.0,0.503052948145,0.480725416932,245,2.23%,GA,Sumter County,13261
516,2001.0,1196.0,3243.0,0.617021276596,0.368794326241,805,24.82%,GA,Talbot County,13263
517,545.0,349.0,897.0,0.607580824972,0.389074693423,196,21.85%,GA,Taliaferro County,13265
518,1678.0,5092.0,6879.0,0.243930803896,0.740223869749,"3,414",49.63%,GA,Tattnall County,13267
519,1295.0,2062.0,3402.0,0.380658436214,0.606114050558,767,22.55%,GA,Taylor County,13269
520,1313.0,2449.0,3794.0,0.346072746442,0.6454928835,"1,136",29.94%,GA,Telfair County,13271
521,2267.0,1872.0,4179.0,0.542474276143,0.447954055994,395,9.45%,GA,Terrell County,13273
522,7138.0,11225.0,18730.0,0.381099839829,0.599305926321,"4,087",21.82%,GA,Thomas County,13275
523,3892.0,8680.0,12796.0,0.304157549234,0.678336980306,"4,788",37.42%,GA,Tift County,13277
524,2338.0,6612.0,9108.0,0.256697408871,0.725955204216,"4,274",46.93%,GA,Toombs County,13279
525,1206.0,5377.0,6726.0,0.179304192685,0.799435028249,"4,171",62.01%,GA,Towns County,13281
526,860.0,1808.0,2700.0,0.318518518519,0.66962962963,948,35.11%,GA,Treutlen County,13283
527,9597.0,15643.0,25793.0,0.372077695499,0.60648237894,"6,046",23.44%,GA,Troup County,13285
528,1243.0,2094.0,3390.0,0.366666666667,0.617699115044,851,25.10%,GA,Turner County,13287
529,1970.0,2034.0,4053.0,0.486059708858,0.501850481125,64,1.58%,GA,Twiggs County,13289
